age,sex,edu,polviews,time_took,issue,type,opinion,mf,value,id
33,Male,bach,0-left,7.366666666666666,givinffor,pro,0,Fairness,0,928
33,Male,bach,0-left,7.366666666666666,givinffor,pro,0,Harm,1,928
33,Male,bach,0-left,7.366666666666666,givinffor,pro,0,Ingroup,0,928
33,Male,bach,0-left,7.366666666666666,givinffor,pro,0,Liberty,0,928
33,Male,bach,0-left,7.366666666666666,givinffor,pro,0,other,1,928
33,Male,bach,0-left,7.366666666666666,givinffor,pro,0,Purity,1,928
33,Male,bach,0-left,7.366666666666666,givinffor,pro,0,Violence,1,928
33,Male,bach,0-left,7.366666666666666,givinfusa,against,1,Authority,0,928
33,Male,bach,0-left,7.366666666666666,givinfusa,against,1,Fairness,1,928
33,Male,bach,0-left,7.366666666666666,givinfusa,against,1,Harm,0,928
33,Male,bach,0-left,7.366666666666666,givinfusa,against,1,Ingroup,0,928
33,Male,bach,0-left,7.366666666666666,givinfusa,against,1,Liberty,1,928
33,Male,bach,0-left,7.366666666666666,givinfusa,against,1,other,1,928
33,Male,bach,0-left,7.366666666666666,givinfusa,against,1,Purity,0,928
33,Male,bach,0-left,7.366666666666666,givinfusa,against,1,Violence,1,928
33,Male,bach,0-left,7.366666666666666,givinfusa,pro,0,Authority,1,928
33,Male,bach,0-left,7.366666666666666,givinfusa,pro,0,Fairness,0,928
33,Male,bach,0-left,7.366666666666666,givinfusa,pro,0,Harm,0,928
33,Male,bach,0-left,7.366666666666666,givinfusa,pro,0,Ingroup,1,928
33,Male,bach,0-left,7.366666666666666,givinfusa,pro,0,Liberty,0,928
33,Male,bach,0-left,7.366666666666666,givinfusa,pro,0,other,1,928
33,Male,bach,0-left,7.366666666666666,givinfusa,pro,0,Purity,1,928
33,Male,bach,0-left,7.366666666666666,givinfusa,pro,0,Violence,0,928
33,Male,bach,0-left,7.366666666666666,paidlvdv,against,0,Authority,1,928
33,Male,bach,0-left,7.366666666666666,paidlvdv,against,0,Fairness,0,928
33,Male,bach,0-left,7.366666666666666,paidlvdv,against,0,Harm,0,928
33,Male,bach,0-left,7.366666666666666,paidlvdv,against,0,Ingroup,1,928
33,Male,bach,0-left,7.366666666666666,paidlvdv,against,0,Liberty,0,928
33,Male,bach,0-left,7.366666666666666,paidlvdv,against,0,other,0,928
33,Male,bach,0-left,7.366666666666666,paidlvdv,against,0,Purity,1,928
33,Male,bach,0-left,7.366666666666666,paidlvdv,against,0,Violence,0,928
33,Male,bach,0-left,7.366666666666666,paidlvdv,pro,1,Authority,0,928
33,Male,bach,0-left,7.366666666666666,paidlvdv,pro,1,Fairness,1,928
33,Male,bach,0-left,7.366666666666666,paidlvdv,pro,1,Harm,1,928
33,Male,bach,0-left,7.366666666666666,paidlvdv,pro,1,Ingroup,0,928
33,Male,bach,0-left,7.366666666666666,paidlvdv,pro,1,Liberty,0,928
33,Male,bach,0-left,7.366666666666666,paidlvdv,pro,1,other,0,928
33,Male,bach,0-left,7.366666666666666,paidlvdv,pro,1,Purity,0,928
33,Male,bach,0-left,7.366666666666666,paidlvdv,pro,1,Violence,0,928
26,Male,<bach,5,6.35,cctv,against,0,Authority,0,929
26,Male,<bach,5,6.35,cctv,against,0,Fairness,1,929
26,Male,<bach,5,6.35,cctv,against,0,Harm,0,929
26,Male,<bach,5,6.35,cctv,against,0,Ingroup,0,929
26,Male,<bach,5,6.35,cctv,against,0,Liberty,0,929
26,Male,<bach,5,6.35,cctv,against,0,other,0,929
26,Male,<bach,5,6.35,cctv,against,0,Purity,0,929
26,Male,<bach,5,6.35,cctv,against,0,Violence,0,929
26,Male,<bach,5,6.35,cctv,pro,1,Authority,0,929
26,Male,<bach,5,6.35,cctv,pro,1,Fairness,0,929
26,Male,<bach,5,6.35,cctv,pro,1,Harm,0,929
26,Male,<bach,5,6.35,cctv,pro,1,Ingroup,0,929
26,Male,<bach,5,6.35,cctv,pro,1,Liberty,0,929
26,Male,<bach,5,6.35,cctv,pro,1,other,0,929
26,Male,<bach,5,6.35,cctv,pro,1,Purity,0,929
26,Male,<bach,5,6.35,cctv,pro,1,Violence,1,929
26,Male,<bach,5,6.35,emonitor,against,0,Authority,0,929
26,Male,<bach,5,6.35,emonitor,against,0,Fairness,1,929
26,Male,<bach,5,6.35,emonitor,against,0,Harm,0,929
26,Male,<bach,5,6.35,emonitor,against,0,Ingroup,0,929
26,Male,<bach,5,6.35,emonitor,against,0,Liberty,0,929
